PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
1000,23,,,,,,,,,
973,216,32.8,20.8,49,16.17,0,0,308.4,357.7,311.3
969,258,31.2,19.2,49,14.67,13,0,307.1,351.6,309.8
961,342,30.4,18.4,49,14.06,39,1,307,349.7,309.6
938,585,28.6,17.9,52,13.95,115,2,307.3,349.7,309.9
925,725,27.6,17.6,54,13.88,120,3,307.5,349.7,310.1
907,897,26,17.1,58,13.74,120,4,307.6,349.4,310.1
876,1203,23.1,16.3,66,13.5,140,6,307.7,348.7,310.2
858,1385,21.4,15.8,71,13.35,125,6,307.7,348.3,310.2
850,1467,20.6,15.6,73,13.29,135,6,307.7,348.1,310.2
797,2020,15.6,12.1,80,11.25,180,7,308.1,342.4,310.2
789,2105,15,11.2,78,10.68,185,7,308.3,341,310.3
757,2455,12.4,7.4,72,8.6,189,11,309.2,335.8,310.8
746,2578,11.3,7.2,76,8.63,190,12,309.4,336,311
730,2759,9.8,7,83,8.68,180,11,309.6,336.4,311.2
710,2991,11.8,-20.2,9,1.09,167,9,314.2,318.1,314.4
707,3026,11.9,-23.1,7,0.85,165,9,314.7,317.7,314.9
703,3073,12,-27,5,0.6,165,8,315.4,317.5,315.5
700,3109,11.8,-27.2,5,0.59,165,8,315.5,317.7,315.6
683,3314,11,-29,4,0.51,173,9,316.9,318.8,316.9
668,3499,9.9,-17.5,13,1.46,180,9,317.6,322.7,317.9
664,3549,9.6,-14.4,17,1.9,187,9,317.8,324.4,318.2
645,3790,9.2,-32.8,3,0.38,221,7,320,321.5,320.1
640,3854,8.8,-32.4,4,0.39,230,6,320.2,321.8,320.3
631,3970,8,-31.8,4,0.43,260,5,320.6,322.2,320.7
614,4193,6.4,-30.5,5,0.5,270,8,321.4,323.2,321.5
587,4560,3.9,-28.4,7,0.63,260,13,322.6,324.9,322.7
558,4974,1,-26,11,0.83,263,15,323.9,326.9,324
542,5208,-0.1,-31.1,8,0.53,265,16,325.3,327.3,325.4
507,5739,-3.2,-32.6,8,0.49,270,19,327.7,329.6,327.8
500,5850,-3.9,-32.9,8,0.48,270,20,328.2,330.1,328.3
482,6137,-6.5,-33.5,10,0.47,258,20,328.5,330.3,328.6
464,6430,-8.2,-35.8,9,0.39,245,20,330,331.5,330.1
450,6666,-9.5,-37.7,8,0.33,260,20,331.2,332.5,331.2
404,7495,-14.3,-44.3,6,0.19,260,25,335.4,336.1,335.4
400,7570,-14.7,-43.7,7,0.2,260,26,335.8,336.6,335.8
357,8404,-20.2,-46.8,7,0.16,255,28,339.6,340.2,339.6
325,9093,-24.7,-49.3,8,0.13,265,33,342.6,343.2,342.6
300,9680,-28.5,-51.5,9,0.11,260,35,345.1,345.6,345.1
250,10960,-38.7,-53.7,19,0.1,250,39,348.4,348.9,348.4
246,11071,-39.7,-54.7,19,0.09,252,40,348.5,348.9,348.5
225,11670,-43.9,-59.4,16,0.06,260,45,351,351.3,351.1
200,12460,-49.5,-65.5,14,0.03,250,52,354.2,354.4,354.2
179,13163,-55.7,-71.2,13,0.01,235,60,355.5,355.5,355.5
173,13379,-57.6,-73,12,0.01,240,61,355.8,355.9,355.8
158,13953,-62.7,-77.7,12,0.01,237,60,356.5,356.6,356.5
150,14270,-65.5,-79.5,13,0,235,59,357.1,357.1,357.1
135,14891,-70,-82.6,14,0,235,52,359.9,359.9,359.9
119,15635,-75.5,-86.3,17,0,245,45,363.1,363.1,363.1
112,15993,-78.1,-88.1,19,0,232,42,364.6,364.6,364.6
111,16044,-78.5,-88.5,19,0,230,42,364.8,364.8,364.8
107,16254,-77.7,-88.7,16,0,223,46,370.1,370.1,370.1
100,16640,-78.7,-89.7,15,0,210,52,375.4,375.4,375.4
96.4,16849,-77.9,-88.9,16,0,224,41,380.9,380.9,380.9
94.8,16944,-77.9,-88.9,16,0,231,36,382.8,382.8,382.8
88,17367,-79.5,-89.6,18,0,260,13,387.7,387.7,387.7
87.4,17406,-79.7,-89.7,18,0,257,13,388.1,388.1,388.1
86.3,17478,-79.7,-89.7,18,0,252,13,389.6,389.6,389.6
70,18680,-73.5,-84.5,17,0,170,10,426.8,426.9,426.8
69,18766,-73.1,-84.2,17,0,160,14,429.5,429.5,429.5
62,19405,-69.8,-81.9,16,0.01,240,7,450,450.1,450
58,19803,-67.8,-80.5,15,0.01,30,5,463.2,463.3,463.2
55,20121,-66.2,-79.3,14,0.01,225,3,474,474.1,474
52,20456,-64.5,-78.1,14,0.02,345,9,485.6,485.7,485.6
50,20690,-63.3,-77.3,13,0.02,20,9,493.9,494,493.9
41,21933,-60.4,-75.6,12,0.03,40,6,529.9,530.1,529.9
35,22924,-58.1,-74.2,11,0.05,160,7,560.3,560.7,560.4
33,23293,-57.3,-73.7,11,0.05,60,4,572.1,572.5,572.1
31,23685,-56.4,-73.2,10,0.06,130,9,584.9,585.4,584.9
30,23890,-55.9,-72.9,10,0.07,95,5,591.6,592.2,591.7
24,25332,-52.4,-72.1,7,0.09,40,5,640.8,641.7,640.9
20,26510,-49.5,-71.5,6,0.12,95,9,683.9,685.1,684
15.6,28146,-45.9,-69.9,5,0.2,179,8,746,748.1,746.1
14,28861,-46.7,-70.7,5,0.2,215,7,766.6,768.7,766.7
12.7,29506,-47.5,-71.5,5,0.19,259,6,785.6,787.8,785.7
12,29884,-46.2,-70.9,4,0.22,285,5,803.1,805.7,803.2
10,31100,-41.9,-68.9,4,0.36,225,24,862,866.3,862.2
8.9,31895,-38.5,-66.5,4,0.56,285,22,904.3,911.3,904.6
8,32625,-39.8,-67,4,0.58,340,20,927.1,934.6,927.5
7.8,32798,-40.1,-67.1,4,0.59,323,20,932.6,940.2,933
7.3,33251,-39.9,-66.9,4,0.65,278,20,951.3,959.7,951.6
7,33536,-40.2,-67.2,4,0.64,250,20,961.4,969.9,961.8
6.1,34473,-41.3,-68.3,4,0.64,299,18,995.3,1004.1,995.7
6,34586,-40.8,-68.2,4,0.65,305,18,1002,1011.1,1002.5
5.6,35057,-38.9,-67.9,3,0.73,282,15,1030.5,1041,1031
5.3,35436,-37.3,-67.3,3,0.84,264,13,1054,1066.3,1054.5
5,245,10,,,,,,,,
